서비스목록일련번호,에이피아이구분,에이피아이서비스명,에이피아이서비스단축명,제공내용
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
382,10,PPA 고객 발전 정기검침내역,PPA 정기검침 정보,PPA 전력구입 검침정보
