연번, 시설명, 시설종류, 지정일자, 주소,위도,경도, 전화번호, 정원(명)
38,진요양원,노인의료복지시설,2021-11-05,"인천광역시 미추홀구 학익소로 67, 7층 (학익동, 신세계빌딩)",37.44171042,126.6707648,032-864-9902,9
39,라라요양원,노인의료복지시설,2021-12-01,인천광역시 미추홀구 경원대로652번길 19-15 (관교동),37.44210368,126.6939521,032-721-7753,60
40,수림재활요양원,노인의료복지시설,2022-10-01,"인천광역시 미추홀구 경인로 321 (도화동, 수림빌딩)",37.45928897,126.6759889,032-246-1000,99
41,인천수봉요양원,노인의료복지시설,2022-11-01,인천광역시 미추홀구 수봉북로 28 (도화동),37.46326625,126.6633084,032-255-5100,99
42,사랑품은 요양원,노인의료복지시설,2022-11-09,"인천광역시 미추홀구 토금남로 2, 704호 (용현동, 노블레스빌딩)",37.45289894,126.632915,032-888-3363,24
43,보금자리요양원,노인의료복지시설,2023-02-01,"인천광역시 미추홀구 한나루로 604, 908호 (도화동, 롯데월드타워)",37.45984908,126.6729642,032-724-8424,14
44,다온요양원,노인의료복지시설,2023-03-01,인천광역시 미추홀구 매소홀로 490 (학익동),37.43926525,126.6766694,032-862-2200,63
45,힘찬실버요양원,노인의료복지시설,2023-06-01,인천광역시 미추홀구 경인로33번길 22 (숭의동),37.46492667,126.6466303,032-891-5777,49
46,수봉요양원,노인의료복지시설,2023-06-14,"인천광역시 미추홀구 수봉남로6번길 52-10, 2층 (용현동, 대진아파트)",37.4555027,126.6585015,032-872-6722,16
47,한가족재활요양원,노인의료복지시설,2023-10-01,"인천광역시 미추홀구 수봉북로12번길 28, 1층 (도화동)",37.46503188,126.6619557,032-872-5001,29
48,숭의요양원,노인의료복지시설,2023-11-01,인천광역시 미추홀구 경인로 42 (숭의동),37.46410079,126.6479805,032-883-6999,49
49,그린2요양원,노인의료복지시설,2023-12-01,"인천광역시 미추홀구 주안로213번길 10-1, 7층 (주안동)",37.46388213,126.6939349,032-422-9114,9
50,그린1요양원,노인의료복지시설,2023-12-01,"인천광역시 미추홀구 주안로213번길 10-1, 6층 (주안동)",37.46388213,126.6939349,032-422-9114,9
51,(인천)에벤에셀요양원,노인의료복지시설,2024-02-01,"인천광역시 미추홀구 아암대로29번길 48, 301호,204-5호 (용현동)",37.45711259,126.6390546,032-882-1001,61
52,가람요양원,노인의료복지시설,2024-04-01,"인천광역시 미추홀구 매소홀로 81-1, 6층 (용현동)",37.4491909,126.6347668,032-886-6700,9
53,경인노인요양공동생활가정,노인의료복지시설,2024-06-01,"인천광역시 미추홀구 석정로 411, 5층 (주안동)",37.46693467,126.6813625,032-868-9998,9
54,한방재활요양원,노인의료복지시설,2024-09-01,인천광역시 미추홀구 한나루로586번길 80 (주안동),37.457897,126.676337,032-255-8809,29
55,참조은요양원,노인의료복지시설,2024-11-01,"인천광역시 미추홀구 독정이로100번길 13, 2호 (숭의동)",37.464753,126.651029,032-861-3111,29
56,미추홀늘푸른요양원,노인의료복지시설,2024-12-01,"인천광역시 미추홀구 토금중로40번길 25, 2층 (용현동)",37.45175,126.637072,032-423-8870,29
57,대한어머니회재가노인지원서비스센터,재가노인복지시설,2008-05-29,"인천광역시 미추홀구 독배로 443, 2층 280호 (숭의동, 삼화복합빌딩)",37.4588359,126.6481512,032-868-9207,재가서비스
58,인천재가노인지원서비스센터,재가노인복지시설,2008-06-02,인천광역시 미추홀구 매소홀로386번길 32 (학익동),37.43863229,126.6645458,032-872-9088,재가서비스
59,주안노인복지센터,재가노인복지시설,2012-01-11,인천광역시 미추홀구 주승로 129 (주안동),37.44579636,126.6847222,032-437-2070,56
60,연세재활주야간보호센터,재가노인복지시설,2019-10-14,"인천광역시 미추홀구 구월로 17, 8층 (주안동)",37.45798834,126.6923315,032-433-7001,72
61,효담채주야간보호센터,재가노인복지시설,2019-10-16,인천광역시 미추홀구 경인로 313-1 (도화동),37.45966158,126.6754812,032-833-4828,42
62,김간호사 재활주간보호 재가복지센터,재가노인복지시설,2019-12-04,"인천광역시 미추홀구 경인로 221, 101동 102호 (도화동, 나산아파트)",37.46523237,126.6675197,032-724-9434,72
63,새봄재활주야간보호센터,재가노인복지시설,2020-05-06,"인천광역시 미추홀구 미추홀대로614번길 3, 5층 (주안동, 씨티프라자)",37.45217768,126.6800618,032-437-0101,18
64,정다운복지센터,재가노인복지시설,2020-05-06,"인천광역시 미추홀구 소성로 329, 2층 202호 (문학동, 경진상가주택)",37.43762726,126.6839496,032-221-1005,재가서비스
65,정성노인복지센터,재가노인복지시설,2020-05-06,"인천광역시 미추홀구 신기길58번길 36, 1층 (주안동)",37.44563717,126.674722,032-424-8708,재가서비스
66,인천통합복지 사회적협동조합,재가노인복지시설,2020-06-30,"인천광역시 미추홀구 미추홀대로 516, 2층 201호 (주안동)",37.44335536,126.6791046,032-864-1006,재가서비스
67,사랑드림노인복지센터,재가노인복지시설,2020-07-20,"인천광역시 미추홀구 한나루로 548-1, A동 1층 (주안동)",37.45528619,126.6701092,032-865-0008,재가서비스
68,가연노인복지센터,재가노인복지시설,2020-08-03,"인천광역시 미추홀구 미추로 62, 3층 (숭의동)",37.46540496,126.645858,032-428-0529,재가서비스
69,한빛재가복지센터,재가노인복지시설,2020-10-08,인천광역시 미추홀구 한나루로490번길 85 (주안동),37.4503158,126.6720633,032-212-6206,재가서비스
70,두리재가복지센터,재가노인복지시설,2020-10-12,"인천광역시 미추홀구 구월로 30, 804호 (주안동, 스페이스이모션오피스텔)",37.45731233,126.6933794,032-862-1847,재가서비스
71,행복재가노인복지센터,재가노인복지시설,2020-11-18,"인천광역시 미추홀구 소성로 173, 203호 (학익동)",37.44170403,126.6677391,032-872-2006,재가서비스
72,예사랑재가노인복지센터,재가노인복지시설,2020-12-29,"인천광역시 미추홀구 매소홀로535번길 8-1, 102호 (문학동)",37.43922991,126.681374,032-433-7934,재가서비스
73,고운재가요양센터,재가노인복지시설,2020-12-31,인천광역시 미추홀구 한나루로501번길 15 (용현동),37.45186298,126.6663221,032-865-0111,재가서비스
74,신경인재활주간보호센터,재가노인복지시설,2021-01-01,"인천광역시 미추홀구 경원대로 865, 메디프렌드 주안센터동 4층 (주안동)",37.46005415,126.6891204,032-433-3457,44
75,고은재가복지센터,재가노인복지시설,2021-01-01,"인천광역시 미추홀구 경인로 120, 2층 19-1호 (숭의동)",37.46593362,126.6559052,032-872-8999,재가서비스
76,수정노인복지센터,재가노인복지시설,2021-02-01,"인천광역시 미추홀구 인주대로 405-1, 2층 (주안동)",37.45152778,126.6817304,032-421-1204,재가서비스
77,부모사랑요양센터,재가노인복지시설,2021-03-01,인천광역시 미추홀구 인하로367번길 16 (주안동),37.448992,126.6893248,032-423-8850,재가서비스
78,시잡인재가복지센터,재가노인복지시설,2021-03-01,인천광역시 미추홀구 인하로 385 (주안동),37.44832667,126.6911718,032-441-8361,재가서비스
79,태양노인주야간보호센터,재가노인복지시설,2021-04-01,"인천광역시 미추홀구 독배로 494, 2층 (숭의동)",37.46173239,126.6443383,032-886-5006,70
80,소망재가노인복지센터,재가노인복지시설,2021-04-01,"인천광역시 미추홀구 연송로86번길 64-14, 102호 (도화동)",37.47789327,126.6551518,032-777-8808,재가서비스
81,온유한재가복지센터,재가노인복지시설,2021-07-01,"인천광역시 미추홀구 인주대로 93-63, 202호 (용현동)",37.45773307,126.6476395,032-873-2553,재가서비스
82,인천어르신재가복지센터,재가노인복지시설,2021-07-01,"인천광역시 미추홀구 연송로 59, 1층 1호 (도화동)",37.47751781,126.656507,070-7543-7234,재가서비스
83,가가호호노인복지센터,재가노인복지시설,2021-08-01,"인천광역시 미추홀구 구월로19번길 6-37, 가동 5호 (주안동, 한성상가)",37.45805219,126.6938449,032-433-8377,재가서비스
84,어르신을부탁해 방문요양센터,재가노인복지시설,2021-09-01,"인천광역시 미추홀구 학익소로 55, 202호 (학익동, 청솔빌딩)",37.44280267,126.6705855,032-425-4998,재가서비스
85,더나은재가복지센터,재가노인복지시설,2021-09-01,"인천광역시 미추홀구 주승로 22, 106호 (학익동, 정진프라자)",37.44365373,126.6727799,032-562-9832,재가서비스
86,지안노인주간보호센터,재가노인복지시설,2021-10-01,"인천광역시 미추홀구 석정로 409, 202호 (주안동, 동아프라자)",37.46713129,126.6809692,032-873-9949,23
87,효방문요양센터,재가노인복지시설,2021-10-01,"인천광역시 미추홀구 석정로 303, 1층 2호 (도화동)",37.46815199,126.6692532,032-719-3901,재가서비스
88,팔팔한재가복지센터,재가노인복지시설,2021-10-01,"인천광역시 미추홀구 인하로 446, 1층 101호 (관교동, 삼환아파트 상가동)",37.44435212,126.6962105,032-424-4743,재가서비스
89,아리아케어 방문요양 미추홀 주안센터,재가노인복지시설,2021-10-01,인천광역시 미추홀구 한나루로586번길 80 (주안동),37.45778874,126.676332,032-876-2227,재가서비스
90,희망나눔재가노인복지센터,재가노인복지시설,2021-12-01,"인천광역시 미추홀구 토금중로40번길 25, 2층 (용현동)",37.45158148,126.6370845,032-885-8319,재가서비스
91,해사랑재가복지센터,재가노인복지시설,2021-12-01,"인천광역시 미추홀구 독정이로100번길 13, 2층 (숭의동)",37.46460136,126.6511019,032-889-0102,재가서비스
92,주안愛노인복지센터,재가노인복지시설,2021-12-20,"인천광역시 미추홀구 인주대로470번길 9, 101호 (주안동)",37.45032517,126.6888604,032-710-4479,재가서비스
93,소울노인복지센터,재가노인복지시설,2021-12-20,"인천광역시 미추홀구 석정로324번길 14, 1층 (도화동)",37.46711224,126.6711934,032-874-4090,재가서비스
94,한마음복지센터,재가노인복지시설,2022-01-01,"인천광역시 미추홀구 인주대로 162, 603호 (용현동, 삼성빌딩)",37.45590088,126.6549397,032-465-8088,재가서비스
95,가희노인복지센터,재가노인복지시설,2022-01-01,"인천광역시 미추홀구 문학길 38, 101호 (문학동, 대산주택)",37.43683555,126.680969,032-213-2405,재가서비스
96,새보미재가노인복지센터,재가노인복지시설,2022-01-01,"인천광역시 미추홀구 독배로 443, 240호,241호 (숭의동, 삼화복합빌딩)",37.4588359,126.6481512,032-437-0095,재가서비스
97,성운복지용구,재가노인복지시설,2022-01-01,인천광역시 미추홀구 한나루로411번길 82-38 (학익동),37.44684189,126.6608344,032-872-9995,재가서비스
98,푸른솔재가노인복지센터,재가노인복지시설,2022-03-01,"인천광역시 미추홀구 경원대로696번길 12, 1층 (관교동)",37.44467132,126.6908806,032-279-6149,재가서비스
99,신기의료기(인천점),재가노인복지시설,2022-03-01,"인천광역시 미추홀구 인주대로 194, 1층 (용현동)",37.45498997,126.6582643,032-872-2407,복지용구사업소
100,하임재가복지센터,재가노인복지시설,2022-04-01,"인천광역시 미추홀구 인하로406번길 30, 1층 102호 (관교동)",37.44606855,126.6917229,032-429-8090,재가서비스
101,백암시니어복지센터,재가노인복지시설,2022-04-01,"인천광역시 미추홀구 매소홀로418번길 14-57, 다동 1~3층 (학익동)",37.43866722,126.6668301,032-876-2181,63
102,조은재가복지센터,재가노인복지시설,2022-04-01,"인천광역시 미추홀구 경원대로821번길 58, 1층 (주안동)",37.45608218,126.6862039,032-439-7103,재가서비스
103,세종재가복지센터,재가노인복지시설,2022-05-01,"인천광역시 미추홀구 미추홀대로 532, 2층 (주안동)",37.44486893,126.6791231,032-244-6033,재가서비스
104,희망재가센터,재가노인복지시설,2022-05-01,"인천광역시 미추홀구 수봉로 41, 지하1층 (숭의동)",37.46267233,126.6572677,032-882-3468,재가서비스
105,(재활)도울주야간보호센터,재가노인복지시설,2022-05-06,"인천광역시 미추홀구 경인로 433, 10층 1001호 (주안동)",37.45823827,126.6884075,032-423-3723,42
106,한방재활주간보호센터,재가노인복지시설,2022-06-01,"인천광역시 미추홀구 미추홀대로 707, 4층 (주안동)",37.46052744,126.6798378,032-868-8675,54
107,인일휴노인복지센터,재가노인복지시설,2022-06-01,"인천광역시 미추홀구 토금북로11번길 20, 203호 (용현동)",37.45592766,126.6365521,032-881-8456,재가서비스
108,금강방문요양센터,재가노인복지시설,2022-06-01,"인천광역시 미추홀구 경인로42번길 81, 1층 (숭의동)",37.46081954,126.6497241,032-522-3094,재가서비스
109,공감노인복지재가센터,재가노인복지시설,2022-08-01,"인천광역시 미추홀구 토금중로 61, 상가동 202호 (용현동)",37.45173372,126.6398736,032-891-8693,재가서비스
110,가히노인복지센터,재가노인복지시설,2022-08-01,"인천광역시 미추홀구 인하로298번길 29, 상가동 203호 (주안동)",37.44660848,126.6814752,032-424-2022,재가서비스
111,미추홀돌봄의집,재가노인복지시설,2022-08-01,"인천광역시 미추홀구 경인로34번길 20, 6층 (숭의동)",37.46303566,126.6472695,032-883-0310,48
112,햇살재가복지센터,재가노인복지시설,2022-09-01,"인천광역시 미추홀구 경원대로640번길 20-7, 102호 (관교동)",37.44093701,126.6949495,032-427-3962,재가서비스
113,돌보미재가복지센터,재가노인복지시설,2022-09-01,"인천광역시 미추홀구 경원대로 890, B11호 (주안동, 보미 리즌빌)",37.46215949,126.6902375,032-715-8428,재가서비스
114,공감재가센터,재가노인복지시설,2022-10-01,인천광역시 미추홀구 석정로 375 (주안동),37.4673168,126.6771877,032-528-5330,재가서비스
115,이원건강의료기 인천보훈점,재가노인복지시설,2022-10-01,"인천광역시 미추홀구 인주대로132번길 14, 1층 (용현동)",37.45571564,126.6517815,032-886-9744,복지용구사업소
116,사랑나눔 노인복지센터,재가노인복지시설,2022-10-18,"인천광역시 미추홀구 미추홀대로646번길 70, 102호 (주안동)",37.45477954,126.6839851,032-228-2580,재가서비스
117,그린 재가노인복지센터,재가노인복지시설,2022-11-01,"인천광역시 미추홀구 주안로 226, 중심상가동 202호 (주안동, 주안더월드스테이트1트단지)",37.46300627,126.6952992,032-221-0905,재가서비스
118,가람노인복지센터,재가노인복지시설,2022-11-01,"인천광역시 미추홀구 인주대로266번길 28-6, 101호 (용현동)",37.45167033,126.665169,032-876-7898,재가서비스
119,100세누리 방문요양센터,재가노인복지시설,2022-11-01,"인천광역시 미추홀구 주승로 229, 204호 (관교동, 쌍용A 상가)",37.44276692,126.6946851,032-424-1372,재가서비스
120,인화 재가노인복지센터,재가노인복지시설,2022-12-01,"인천광역시 미추홀구 인주대로252번길 28, 102호 (용현동)",37.45198638,126.6637945,032-861-3390,재가서비스
121,비타민 재가노인복지센터,재가노인복지시설,2022-12-01,"인천광역시 미추홀구 한나루로 400, 167호 (학익동)",37.44351498,126.6649652,032-858-4331,재가서비스
122,평화노인복지센터,재가노인복지시설,2022-12-12,"인천광역시 미추홀구 주안로 40, 201호 (주안동, 앙상블1차)",37.46397482,126.6740162,032-421-2228,재가서비스
123,봄봄재가복지센터,재가노인복지시설,2023-01-02,인천광역시 미추홀구 미추홀대로 636 (주안동),37.45403034,126.6801309,032-471-9455,재가서비스
124,천사랑 방문요양센터,재가노인복지시설,2023-01-02,"인천광역시 미추홀구 경원대로833번길 25-1, 102호 (주안동)",37.45706446,126.6877694,032-422-1459,재가서비스
125,인천간호센터,재가노인복지시설,2023-01-02,"인천광역시 미추홀구 석정로 6, 2층 (숭의동, 인천한방병원)",37.46028518,126.6420936,032-554-7582,재가서비스
126,행복드림 어르신주야간보호센터,재가노인복지시설,2023-01-16,"인천광역시 미추홀구 주안로 86, 301호 (주안동, 우신빌딩)",37.46385022,126.6792217,032-866-9797,55
127,이음실버케어센터,재가노인복지시설,2023-02-01,"인천광역시 미추홀구 미추홀대로697번길 22, 425호,426호 (주안동, 롯데하이텔)",37.4599399,126.6785806,032-205-9246,30
128,나섬재가복지센터,재가노인복지시설,2023-03-02,"인천광역시 미추홀구 염전로128번길 46, 1층 (도화동)",37.47807983,126.6555412,032-766-3178,재가서비스
129,보훈복지용구,재가노인복지시설,2023-03-02,"인천광역시 미추홀구 인주대로 141, 101호 (용현동)",37.45669209,126.6528618,032-891-1777,복지용구사업소
130,미추홀재가노인지원서비스센터,재가노인복지시설,2023-04-01,인천광역시 미추홀구 염창로 97 (주안동),37.46559847,126.6849558,032-876-8182,재가서비스
131,굿모닝인천 데이케어센터,재가노인복지시설,2023-04-01,"인천광역시 미추홀구 석정로 433, 202호 (주안동, 영일빌딩)",37.4667456,126.6836647,032-874-8777,38
132,가은재가복지센터,재가노인복지시설,2023-05-01,"인천광역시 미추홀구 경인로 372 (주안동, 아인애비뉴 2층 2150호)",37.4580182,126.6811632,032-721-5000,재가서비스
133,보람방문요양센터,재가노인복지시설,2023-05-01,"인천광역시 미추홀구 경인로 354, 4층 (주안동)",37.45828531,126.6791157,032-567-8901,재가서비스
134,바른방문요양센터,재가노인복지시설,2023-05-01,"인천광역시 미추홀구 주승로 216-14, 102호 (관교동)",37.44348982,126.6931266,032-215-8182,재가서비스
135,디엠디케이 복지센터,재가노인복지시설,2023-06-01,"인천광역시 미추홀구 구월로37번길 46, 3층 (주안동)",37.45950428,126.6941699,032-428-2004,재가서비스
136,시온재가장기요양센터,재가노인복지시설,2023-06-01,"인천광역시 미추홀구 동주길67번길 8-2, 1층 101호 (주안동)",37.45448918,126.6844036,032-246-5007,재가서비스
137,미추홀재가방문요양센터,재가노인복지시설,2023-06-01,"인천광역시 미추홀구 신기길30번길 34, 1층 (주안동)",37.44685597,126.6746892,032-872-8761,재가서비스
138,성문재가노인복지센터,재가노인복지시설,2023-06-01,"인천광역시 미추홀구 한나루로490번길 9, 1층 (주안동)",37.45059151,126.6679019,032-715-7239,재가서비스
139,한사랑노인복지센터,재가노인복지시설,2023-06-01,"인천광역시 미추홀구 미추홀대로578번길 26, 1층 (주안동)",37.44876812,126.6812778,032-233-0111,재가서비스
140,샬롬재가노인복지센터,재가노인복지시설,2023-07-01,"인천광역시 미추홀구 독정이로9번길 64, 107호 (용현동)",37.45708925,126.6512374,032-881-3834,재가서비스
141,효담재가복지센터,재가노인복지시설,2023-07-01,"인천광역시 미추홀구 매소홀로 262, 제13층 13014호 (학익동, 시티필드)",37.44425946,126.6524737,032-721-5600,재가서비스
142,구구팔팔재가복지센터,재가노인복지시설,2023-07-01,"인천광역시 미추홀구 길파로35번길 30, 101호 (주안동)",37.46928549,126.678039,032-872-0828,재가서비스
143,두드림노인복지센터,재가노인복지시설,2023-08-01,"인천광역시 미추홀구 주승로 229, 상가동 105호 (관교동)",37.44276692,126.6946851,032-813-3381,재가서비스
144,나눔과기쁨 노인복지센터,재가노인복지시설,2023-08-01,"인천광역시 미추홀구 능해길 70, 2층 (용현동)",37.45807347,126.641142,032-882-0675,재가서비스
145,해찬방문노인복지센터,재가노인복지시설,2023-09-01,"인천광역시 미추홀구 주승로 247, 203호 (관교동, 동부아파트상가)",37.44129096,126.6956246,032-724-9971,재가서비스
146,케어닥 방문요양돌봄센터 용현파트너점,재가노인복지시설,2023-09-01,"인천광역시 미추홀구 낙섬중로 129, 상가4동 206호 (용현동, 엘에이치미추홀3단지)",37.4582401,126.6427291,032-888-2654,재가서비스
147,온맘케어 재가복지센터,재가노인복지시설,2023-09-01,"인천광역시 미추홀구 소성로 333, 3층 (문학동)",37.43760258,126.6842562,032-421-5111,재가서비스
148,아가페노인복지센터,재가노인복지시설,2023-10-01,"인천광역시 미추홀구 경인로 422-1, 201호 (주안동)",37.45780329,126.6869847,032-433-9987,재가서비스
149,한가족재활주간보호센터,재가노인복지시설,2023-10-01,"인천광역시 미추홀구 수봉북로12번길 28, 4층 (도화동)",37.46503188,126.6619557,032-872-5001,17
150,케어블 커뮤니티케어 인천 미추홀점,재가노인복지시설,2023-10-01,"인천광역시 미추홀구 경인로 33, 2층 (숭의동, 행복아파트)",37.46399176,126.6467421,032-256-2000,36
151,효신노인복지센터,재가노인복지시설,2023-10-01,인천광역시 미추홀구 비룡길78번길 4-21 (용현동),37.45407042,126.65338,032-883-7979,재가서비스
152,하림재가복지센터,재가노인복지시설,2023-10-01,인천광역시 미추홀구 경인로252번안길 27-1 (도화동),37.46241677,126.667825,070-4320-1003,재가서비스
153,대교뉴이프 데이케어센터 인천미추홀센터,재가노인복지시설,2023-12-01,"인천광역시 미추홀구 매소홀로 442, 2층 (학익동, 인천향교회관)",37.43953362,126.6710362,032-861-9114,35
154,선 재가노인복지센터,재가노인복지시설,2023-12-01,"인천광역시 미추홀구 신기길72번길 57, 2동 101호 (주안동, 대성씨티빌)",37.44458647,126.6734984,032-434-3131,재가서비스
155,즐거운복지센터,재가노인복지시설,2023-12-01,"인천광역시 미추홀구 학익소로37번길 22, 201호 (주안동)",37.44448639,126.6715905,032-213-1255,재가서비스
156,장수재가복지센터,재가노인복지시설,2024-01-01,"인천광역시 미추홀구 인하로209번길 10, 1층 1호 (주안동)",37.4491259,126.6715005,032-716-6206,재가서비스
157,카네이션재가복지센터 (주)카네이션토탈케어,재가노인복지시설,2024-01-01,"인천광역시 미추홀구 주안로 108, 201호 (주안동)",37.46366077,126.6817327,032-425-0707,재가서비스
158,인천사회복지센터,재가노인복지시설,2024-02-01,"인천광역시 미추홀구 주안로 12, 201호 (도화동)",37.4637304,126.6709999,032-868-2024,재가서비스
159,효원 재가복지센터,재가노인복지시설,2024-02-01,"인천광역시 미추홀구 주승로 99, 1층 (주안동)",37.44509974,126.6814451,032-710-2898,재가서비스
160,좋은아침간호센터,재가노인복지시설,2024-02-01,"인천광역시 미추홀구 토금북로11번길 20, 304호 (용현동, 정다운오피스텔)",37.45592766,126.6365521,,재가서비스
161,장수노인복지센터,재가노인복지시설,2024-03-01,"인천광역시 미추홀구 주안로205번길 20, 3층 (주안동)",37.46440278,126.6929463,032-264-3355,재가서비스
162,건강재활주간보호센터,재가노인복지시설,2024-03-27,"인천광역시 미추홀구 매소홀로 482, 201호 (학익동)",37.43927001,126.6755116,032-873-3650,51
163,주안돌봄 재가노인복지센터,재가노인복지시설,2024-04-01,"인천광역시 미추홀구 미추홀대로626번길 51, 1층 (주안동)",37.45320779,126.6828336,032-423-1222,재가서비스
164,두손모아 재가복지센터,재가노인복지시설,2024-04-01,"인천광역시 미추홀구 인주대로407번길 71, 1층 (주안동)",37.45465415,126.6818823,,재가서비스
