연번,관련 근거법,시설종류,시설형태,시설명,군구명,주소,연락처
46,장애인복지법,장애인거주시설(법인),생활,브솔시내,미추홀구,동산로 4(도화동),032-515-0066
47,장애인복지법,장애인거주시설(법인),생활,미추홀푸르내,미추홀구,석바위로 107(주안동),032-427-8880
48,장애인복지법,장애인거주시설(법인),생활,밝은마음,연수구,봉재산로 68(동춘동),032-817-2070
49,장애인복지법,장애인거주시설(법인),생활,동심원,연수구,봉재산로 68(동춘동),032-818-4737
50,장애인복지법,장애인거주시설(법인),생활,하늘채,남동구,"장아산로 200번길 8(서창동, 하늘채)",032-465-6640
51,장애인복지법,장애인거주시설(법인),생활,성촌의집,부평구,경인로 701번길 26(십정동),032-422-0573
52,장애인복지법,장애인거주시설(법인),생활,은광원,부평구,마분로 8(부개동),032-501-0105
53,장애인복지법,장애인거주시설(법인),생활,인천광명원,부평구,경인로 769번길 27(십정동),032-514-1956
54,장애인복지법,장애인거주시설(법인),생활,성동원,부평구,경인로 880(부평동),032-522-2984
55,장애인복지법,장애인거주시설(법인),생활,예림원,부평구,동수로 87(부평동),032-525-6043
56,장애인복지법,장애인거주시설(법인),생활,우리들의집,부평구,경인로 701번길 26(십정동),032-433-7907
57,장애인복지법,장애인거주시설(법인),생활,예원,계양구,둑실안길 54,032-544-5680
58,장애인복지법,장애인거주시설(개인),생활,평화의집,연수구,경원대로 588번길 5(선학동),032-427-4145
59,장애인복지법,장애인거주시설(개인),생활,쉴만한물가의집,부평구,원적로 421번길 9-12(산곡동),032-277-9595
60,장애인복지법,장애인거주시설(개인),생활,희락원,중구,송학로 48(내동),032-777-4117
61,장애인복지법,장애인공동생활가정,생활,우리마을공동생활가정1,강화군,길상면 해란길 63,032-937-9054
62,장애인복지법,장애인공동생활가정,생활,릴리공동생활가정4,강화군,길상면 길상로 242-28,032-937-9035
63,장애인복지법,장애인공동생활가정,생활,우리마을공동생활가정4,강화군,길상면 해란길 63,032-937-9036
64,장애인복지법,장애인공동생활가정,생활,릴리공동생활가정1,강화군,길상면 길상로 242-28,070-4915-9565
65,장애인복지법,장애인공동생활가정,생활,릴리공동생활가정2,강화군,길상면 길상로 242-28,032-937-8675
66,장애인복지법,장애인공동생활가정,생활,릴리공동생활가정3,강화군,길상면 길상로 242-28,032-937-8698
67,장애인복지법,장애인공동생활가정,생활,큰나무하우스1,강화군,강화군 양도면 강화남로 428번길 70-11,032-937-3175
68,장애인복지법,장애인공동생활가정,생활,큰나무하우스2,강화군,강화군 양도면 강화남로 428번길 70-11,032-937-3177
69,장애인복지법,장애인공동생활가정,생활,다사랑공동생활가정,중구,도원로 14번길 15-1,032-885-9049
70,장애인복지법,장애인공동생활가정,생활,송림공동생활가정,동구,"송림로 50, 2-406(송림동, 삼익A)",032-764-8051
71,장애인복지법,장애인공동생활가정,생활,기분좋은그룹홈1,미추홀구," 한나루로 490번길 59,201호(주안동)",070-8866-0419
72,장애인복지법,장애인공동생활가정,생활,기분좋은그룹홈3,미추홀구,"인하로 294번길 8,201호(관교동)",032-818-2151
73,장애인복지법,장애인공동생활가정,생활,길벗그룹홈,미추홀구,남구 남주길 125번길64-14(주안동),032-864-0522
74,장애인복지법,장애인공동생활가정,생활,길벗숭의그룹홈,미추홀구,"장천로 88-1, 612동 301호(숭의동)",070-8995-0813
75,장애인복지법,장애인공동생활가정,생활,예그리나공동생활가정1,미추홀구,"경인로 395, 4-403(주안동, 현대A)",032-427-5245
76,장애인복지법,장애인공동생활가정,생활,밀알공동생활가정1,미추홀구,"주안서로41,303호(주안동,태극아파트)",032-863-5854
77,장애인복지법,장애인공동생활가정,생활,밀알공동생활가정2,미추홀구,"경원대로640번길 12-22, 201호(관교동)",032-421-4396
78,장애인복지법,장애인공동생활가정,생활,어울림의집,미추홀구,독배로 434번길 18,032-883-7029
79,장애인복지법,장애인공동생활가정,생활,선학1공동생활가정,연수구,"청능말로14번길 10, 101호(청학동)",032-818-5810
80,장애인복지법,장애인공동생활가정,생활,선학2공동생활가정,연수구,"청능말로 22번길 6, 101호(청학동)",032-818-5414
81,장애인복지법,장애인공동생활가정,생활,그룹홈안젤로2호,연수구," 청학로 28번길 14,301호(청학동)",032-832-8325
82,장애인복지법,장애인공동생활가정,생활,연수공동생활가정,연수구,"청능말로 8번길 9, 301호(청학동)",032-472-8148
83,장애인복지법,장애인공동생활가정,생활,청학공동생활가정,연수구,"청능말로 8번길 9, 101호(청학동)",032-575-5675
84,장애인복지법,장애인공동생활가정,생활,기분좋은그룹홈2,남동구,"독곡로 16번길 12-20, B-401",032-468-3447
85,장애인복지법,장애인공동생활가정,생활,그룹홈안젤로,남동구, 남촌동로 16번길15-12(남촌동),032-256-0122
86,장애인복지법,장애인공동생활가정,생활,예림공동생활가정1,부평구,"체육관로 111,415-1505",032-525-6043
87,장애인복지법,장애인공동생활가정,생활,예림공동생활가정2,부평구,"체육관로 111,415-1406",032-525-6043
88,장애인복지법,장애인공동생활가정,생활,예림공동생활가정3,부평구,"체육관로 111,412-906",032-525-6043
89,장애인복지법,장애인공동생활가정,생활,예림공동생활가정4,부평구," 체육관로 111,406-201",032-525-6043
90,장애인복지법,장애인공동생활가정,생활,예림공동생활가정5,부평구,"체육관로 111,415-1109",032-525-6043
91,장애인복지법,장애인공동생활가정,생활,만인의집,부평구,"마장로 269번길 91-63, 402호",032-528-7650
92,장애인복지법,장애인공동생활가정,생활,섬나공동생활가정1,계양구,"황어로 115번길 12, 11동 105호(오류동, 신동아아파트)",032-555-0019
93,장애인복지법,장애인공동생활가정,생활,섬나공동생활가정2,계양구,"계양대로120번길10, 1동207호(작전동, 계산한양아파트)",032-555-4136
94,장애인복지법,장애인공동생활가정,생활,섬나공동생활가정3,계양구,"장기서로 16번길 13,101-101",032-555-4134
95,장애인복지법,장애인공동생활가정,생활,마전공동생활가정,서구,"경명대로 698-4, B/201(공촌동, 대국빌라)",032-565-8051
96,장애인복지법,장애인공동생활가정,생활,예그리나공동생활가정2,서구,"연희로 28번길 17-1,301호(연희동)",032-566-5988
97,장애인복지법,장애인공동생활가정,생활,인정공동생활가정1,서구,"승학로 506번안길 57,103동 203호",032-563-8004
98,장애인복지법,장애인공동생활가정,생활,인정공동생활가정2,서구,"승학로 506번안길 57, 103동 303호",032-563-8005
99,장애인복지법,장애인공동생활가정,생활,인정공동생활가정3,서구,"승학로 506번안길 57,103동 202호",032-567-7319
100,장애인복지법,장애인공동생활가정,생활,인정공동생활가정5,서구,"승학로 506번안길 57,103동 302호",032-567-7447
101,장애인복지법,장애인공동생활가정,생활,한원공동생활가정,서구,경명대로698-4 대국빌라 A동102호,070-7517-1347
102,장애인복지법,장애인공동생활가정,생활,참빛공동생활가정1,서구,여우재로 86번길 4,032-575-7156
103,장애인복지법,장애인공동생활가정,생활,참빛공동생활가정2,서구,여우재로 86번길 4,032-575-7156
104,장애인복지법,장애인단기거주시설,생활,이든단기보호센터,중구,"우현로67번길 27-13, 2F(내동)",032-762-3302
105,장애인복지법,장애인단기거주시설,생활,미추홀단기보호센터,미추홀구,석정로 240번길 5(도화동),032-886-9031
106,장애인복지법,장애인단기거주시설,생활,기쁨의집단기보호센터,미추홀구,독정안길 42번길 13-12(숭의동),032-881-3961
107,장애인복지법,장애인단기거주시설,생활,연수허브단기보호센터,연수구,"선학로 14(선학동, 선학시영상가)",032-817-2092
108,장애인복지법,장애인단기거주시설,생활,해늘단기보호센터,부평구,"화랑북로 35-4(산곡동, 1층)",032-506-6596
109,장애인복지법,피해장애인쉼터,생활,인천광역시 피해장애인쉼터,서구,비공개,
110,장애인복지법,피해장애아동쉼터,생활,인천광역시 피해장애아동쉼터(남아),서구,비공개,
111,장애인복지법,피해장애아동쉼터,생활,인천광역시 피해장애아동쉼터(여아),서구,비공개,
112,장애인복지법,장애인직업재활시설,이용,우리마을,강화군,길상면 길상로242-28,032-937-8691
113,장애인복지법,장애인직업재활시설,이용,모아직업재활시설,강화군,길상면 장촌길31,032-362-9334
114,장애인복지법,장애인직업재활시설,이용,예닮 직업재활시설,강화군,갑룡길206번길 66,032-932-8243
115,장애인복지법,장애인직업재활시설,이용,공감,옹진군,영흥면 영흥로525번길 63-67(영흥면 외리 894-1),032-880-0480
116,장애인복지법,장애인직업재활시설,이용,인천중구장애인보호작업장,중구,매소홀로10,032-881-8410
117,장애인복지법,장애인직업재활시설,이용,일도재활관,중구,참외전로 149-78,032-772-0250
118,장애인복지법,장애인직업재활시설,이용,채움,동구,보세로 26번길 24-16,070-4012-1889
119,장애인복지법,장애인직업재활시설,이용,핸인핸,동구,방축로157번길 48,032-521-7471
120,장애인복지법,장애인직업재활시설,이용,미추마루보호작업장,미추홀구,석정로212번길7(도화동),032-886-6679
121,장애인복지법,장애인직업재활시설,이용,모퉁이보호작업장,미추홀구,경인로7번길 41(숭의동),032-861-0105
122,장애인복지법,장애인직업재활시설,이용,미추클린센터,미추홀구,인하로 137,032-862-2115
123,장애인복지법,장애인직업재활시설,이용,vision N,미추홀구,경원대로 714,032-426-1382
124,장애인복지법,장애인직업재활시설,이용,애호일터,미추홀구,"경인로 345, 2층",032-863-9255
125,장애인복지법,장애인직업재활시설,이용,어울림카페,미추홀구,경인로 345,032-866-3270
126,장애인복지법,장애인직업재활시설,이용,예림일터,미추홀구,염전로 262-2 (도화동),032-529-2677
127,장애인복지법,장애인직업재활시설,이용,행복한 일터,미추홀구,"석정로202번길 11-20, 2층",032-884-3927
128,장애인복지법,장애인직업재활시설,이용,해내기보호작업장,연수구,앵고개로 130,032-833-7074
129,장애인복지법,장애인직업재활시설,이용,열린일터,남동구,담방서로 23번길 17,032-468-7788
130,장애인복지법,장애인직업재활시설,이용,인천안마수련원,남동구,구월로 235 2층,032-866-6300
131,장애인복지법,장애인직업재활시설,이용,해봄비,남동구,소래로 500,032-461-0905
132,장애인복지법,장애인직업재활시설,이용,나린,남동구,독점로30번길 15,032-464-3355
133,장애인복지법,장애인직업재활시설,이용,굿프랜드,부평구,경인로 701-26,032-428-1741
134,장애인복지법,장애인직업재활시설,이용,성동N,부평구,경인로 880,032-506-7746
135,장애인복지법,장애인직업재활시설,이용,송암보호작업장,부평구,일신로 25,032-528-8863
136,장애인복지법,장애인직업재활시설,이용,아이드림,부평구,경인로769-27,032-508-3772
137,장애인복지법,장애인직업재활시설,이용,핸인핸부평,부평구,동수로 87,032-527-0337
138,장애인복지법,장애인직업재활시설,이용,스마트재활일터,부평구,화랑로 70(산곡동),032-715-4775
139,장애인복지법,장애인직업재활시설,이용,굿윌스토어 부평점,부평구,경인로 1128번길 12,032-511-9293
140,장애인복지법,장애인직업재활시설,이용,노틀담베이커리,계양구,계양산로 35번길 12-37,032-540-8949
141,장애인복지법,장애인직업재활시설,이용,해피로드,계양구,장제로731 B01호,032-549-4322
142,장애인복지법,장애인직업재활시설,이용,비젼꿈터,계양구,"장기로 33, 2층",032-542-2121
143,장애인복지법,장애인직업재활시설,이용,계양디딤보호작업장,계양구,"계양천서로 15, 101/103호, 2층호",032-777-5234
144,장애인복지법,장애인직업재활시설,이용,그린페이퍼,서구,"보듬로 158, 검단지식산업센터블루텍 103~ 106호/ 319호~321호",032-566-8980
145,장애인복지법,장애인직업재활시설,이용,두드림보호작업장,서구,드림로 284-8,032-569-1267
146,장애인복지법,장애인직업재활시설,이용,서구구립장애인직업재활시설,서구,마중1로 12,032-569-7452
147,장애인복지법,장애인직업재활시설,이용,에진원,서구,심곡로 124번길 10,032-568-3276
148,장애인복지법,장애인직업재활시설,이용,인정재활관,서구,서달로 123번안길 24,032-574-0457
149,장애인복지법,장애인직업재활시설,이용,창익,서구,북항로 120번길 13-6,032-568-1254
150,장애인복지법,장애인직업재활시설,이용,인천시립장애인예술단,서구,북항로 32번길 37,032-583-8980
151,장애인복지법,장애인직업재활시설,이용,호인세상,서구,서달로 123번안길 24(석남동),032-574-0250
152,장애인복지법,장애인직업재활시설,이용,꿈돌이보호작업장,서구,청라에메랄드로 102번길 26,032-563-8432
153,장애인복지법,장애인직업재활시설,이용,다가치보호작업장,연수구,"연수구 새말로 146, 2층(연수동)",032-815-0208
154,장애인복지법,장애인직업재활시설,이용,루앤원 보호작업장,계양구,"계양구 아나지로97번길 14,1층(효성동)",032-555-9059
155,장애인복지법,장애인직업재활시설,이용,늘푸른일터,남동구,"남동구 인주대로 719,5층(구월동)",032-465-3927
156,장애인복지법,중증장애인생산품판매시설,이용,인천광역시립장애인생산품판매시설,서구,북항로32번길 37(원창동),032-527-0709
157,장애인복지법,중증장애인생산품판매시설,이용,인천광역시장애인생산품판매시설,서구,"청라에메랄드로76번길 7, 2층 201호",032-464-0183
158,장애인복지법,장애인복지관,이용,강화군장애인복지관,강화군,충렬사로 63,032-934-8464
159,장애인복지법,장애인복지관,이용,중구장애인종합복지관,중구,매소홀로 10,032-880-2400
160,장애인복지법,장애인복지관,이용,동구한마음종합복지관,동구,만석로 53,032-724-9501
161,장애인복지법,장애인복지관,이용,미추홀장애인종합복지관,미추홀구,경원대로 714,032-426-1382
162,장애인복지법,장애인복지관,이용,인천광역시시각장애인복지관,미추홀구,한나루로 357번길 105-19(학익동),032-876-3500
163,장애인복지법,장애인복지관,이용,인천장애인종합복지관,연수구,앵고개로 130,032-833-3051
164,장애인복지법,장애인복지관,이용,남동장애인종합복지관,남동구,인주대로 898,032-472-4004
165,장애인복지법,장애인복지관,이용,부평장애인종합복지관,부평구,일신로 25,032-512-9200
166,장애인복지법,장애인복지관,이용,노틀담복지관,계양구,계양산로 35번길 12-37,032-542-3711
167,장애인복지법,장애인복지관,이용,서구장애인종합복지관,서구,드림로 284-8,032-569-1240
168,장애인복지법,주간이용시설,이용,마리아장애인주간보호센터,강화군,길상면 해란길 63,032-937-9075
169,장애인복지법,주간이용시설,이용,강화장애인복지관주간보호센터,강화군,충렬사로 63,070-7789-9601
170,장애인복지법,주간이용시설,이용,중구장애인주간보호센터,중구,매소홀로10 1층,032-880-2470
171,장애인복지법,주간이용시설,이용,무지개주간보호센터,중구,우현로 62번길 38-3,032-762-3340
172,장애인복지법,주간이용시설,이용,영종장애인주간보호센터,중구,영종해안북로1000-26 (2층),032-747-0421
173,장애인복지법,주간이용시설,이용,동구장애인주간보호센터,동구,"만석로 53,2층",032-880-9538
174,장애인복지법,주간이용시설,이용,미추홀장애인복지관주간보호센터,미추홀구,경원대로714(관교동),032-426-1382~5
175,장애인복지법,주간이용시설,이용,시각장애인복지관주간보호센터,미추홀구,한나루로 357번길 105-19(학익동),032-876-3500
176,장애인복지법,주간이용시설,이용,미추나래주간보호센터,미추홀구,석정로102번길 11(숭의동),032-886-6674
177,장애인복지법,주간이용시설,이용,인천신장장애인주간보호센터,미추홀구,"미추홀대로 716(주안동,메인프라자)207호",032-868-8806
178,장애인복지법,주간이용시설,이용,늘푸른샘주간보호센터,미추홀구,인하로 405번길 7,032-427-6929
179,장애인복지법,주간이용시설,이용,미추홀장애주간보호센터,미추홀구,염창로 97,032-876-8183
180,장애인복지법,주간이용시설,이용,미추홀동그라미주간보호센터,미추홀구,석정로 375번길 23,0507-1308-7179
181,장애인복지법,주간이용시설,이용,해내기주간보호센터,연수구,앵고개로 130,070-7124-0299
182,장애인복지법,주간이용시설,이용,연수허브주간보호센터,연수구,선학로14,032-817-2091
183,장애인복지법,주간이용시설,이용,사랑나눔주간보호센터,연수구,선학로14,032-818-2075
184,장애인복지법,주간이용시설,이용,연수구장애인주간보호센터,연수구,"청량로 185번길 31, 에스엠프라자 2층",032-749-6892
185,장애인복지법,주간이용시설,이용,늘푸른동산주간보호센터,남동구,"담방서로23번길 17, 3층 ",032-472-4031
186,장애인복지법,주간이용시설,이용,하늘고운주간보호센터,남동구,"석정로 501, 3층(간석동, 경신빌딩)",032-508-2097
187,장애인복지법,주간이용시설,이용,바다의별주간보호센터,남동구,남촌동로16번길 15-12,032-468-4647
188,장애인복지법,주간이용시설,이용,샛별주간보호센터,남동구,남촌동로3번길 14,032-435-1147
189,장애인복지법,주간이용시설,이용,동그라미발달장애인주간보호센터,남동구,"인주대로 819,(문화빌딩 201호)",032-464-7179
190,장애인복지법,주간이용시설,이용,민달팽이주간보호센터,남동구,"만수서로37번길55, 하영빌딩 2층",032-472-0123
191,장애인복지법,주간이용시설,이용,국손장애인주간보호센터,남동구,남동구 용천로97번길 3,032-212-1020
192,장애인복지법,주간이용시설,이용,해늘주간보호센터,부평구,화랑북로 35-4,032-506-6596
193,장애인복지법,주간이용시설,이용,성동주간보호센터,부평구,경인로 880,032-514-5600
194,장애인복지법,주간이용시설,이용,부평장애인종합복지관주간보호센터,부평구,일신로 25,032-512-9863
195,장애인복지법,주간이용시설,이용,아카펠라주간보호센터,부평구,평천로 319-5 대진빌딩2층,032-517-0630
196,장애인복지법,주간이용시설,이용,혜인주간보호센터,부평구,"마장로 24, 3층",032-330-1307
197,장애인복지법,주간이용시설,이용,부흥장애인주간보호센터,부평구,부흥로 334번길 37 3층,070-7562-9125
198,장애인복지법,주간이용시설,이용,나래장애인주간보호센터,부평구,"부영로 161, 주안빌딩 402호",032-513-9300
199,장애인복지법,주간이용시설,이용,꿈이룸장애인주간보호센터,부평구,안남로 62,032-508-6974
200,장애인복지법,주간이용시설,이용,노틀담주간이용센터,계양구,계양산로35번길,032-540-8904
201,장애인복지법,주간이용시설,이용,사랑터주간보호센터,계양구,장제로 708번길 5층 509호,032-546-4800
202,장애인복지법,주간이용시설,이용,해도두리주간보호센터,계양구,장제로 708번길 4층 401호,032-542-1287
203,장애인복지법,주간이용시설,이용,예원주간보호센터,계양구 ,"효서로92, 1층",032-553-1220
204,장애인복지법,주간이용시설,이용,더행복한장애인주간보호센터,계양구,"아나지로 198번길 10, 302호",070-4111-7393
205,장애인복지법,주간이용시설,이용,태화인천장애인주간보호센터,서구,심곡로 124번길 10,032-568-3247
206,장애인복지법,주간이용시설,이용,서구장애인복지관주간보호센터,서구,드림로 284-8,032-569-1244
207,장애인복지법,주간이용시설,이용,느티나무주간보호센터,서구,심곡로 100번길 8-11,070-8699-8246
208,장애인복지법,주간이용시설,이용,해피로드장애인주간보호센터,서구,"가정로125번길 12, 2층",032-574-7041
209,장애인복지법,주간이용시설,이용,구립 서로이음장애인주간보호센터,서구,"완정로 153, 4층",032-567-2365
210,장애인복지법,지역사회재활시설,이용,송암점자도서관,미추홀구,한나루로357번길 105-19,032-876-3504
211,장애인복지법,지역사회재활시설,이용,장애인생활이동지원센터,남동구,석산로 78(간석동),032-427-0822
212,장애인복지법,지역사회재활시설,이용,인천수어통역센터,남동구,"용천로 208, 610호",032-212-2776
213,장애인복지법,의료재활시설,이용,인천재활의원,미추홀구,인주대로 290 (주안동),032-861-0101
214,장애인복지법,의료재활시설,이용,경인권역재활병원,연수구,원인재로 263(연수동),032-899-4000
215,장애인복지법,지역보조기기센터,이용,인천광역시보조기기센터,계양구,계양산로 35번길,032-540-8946
216,노인복지법,노인복지관,이용,강화군노인복지관,강화군,강화읍 중앙로 17-16,032-933-1988
217,노인복지법,노인복지관,이용,강화군노인문화센터,강화군,길상면 마니산로 36,032-930-7100
218,노인복지법,노인복지관,이용,백령노인문화센터,옹진군,백령면 백령로278번길 133-20,032-836-3223
219,노인복지법,노인복지관,이용,중구노인복지관,중구,인천 중구 제물량로80번길 3-24,032-761-3579
220,노인복지법,노인복지관,이용,동구노인복지관,동구,샛골로 177(송림동),032-761-3677
221,노인복지법,노인복지관,이용,송현노인복지관,동구,솔빛로13(송현동),032-765-3677
222,노인복지법,노인복지관,이용,미추홀노인복지관,미추홀구,학익소로37번길 17(주안동),032-861-3001
223,노인복지법,노인복지관,이용,용현노인문화센터,미추홀구,인하로77번길 38(용현동),032-862-3910
224,노인복지법,노인복지관,이용,주안노인문화센터,미추홀구,석정로 464(주안동),032-867-3312
225,노인복지법,노인복지관,이용,관교노인복지관,미추홀구,경원대로628번길 30(관교동),032-421-3600
226,노인복지법,노인복지관,이용,연수구노인복지관,연수구,함박뫼로 194,032-811-2660
227,노인복지법,노인복지관,이용,청학노인복지관,연수구,청학로12번길 53,032-831-7131
228,노인복지법,노인복지관,이용,송도노인복지관,연수구,송도교육로 61,032-716-9919
229,노인복지법,노인복지관,이용,남동구노인복지관,남동구,소래로 610,032-435-1950
230,노인복지법,노인복지관,이용,만수노인문화센터,남동구,만경로12번길 45,032-464-1245
231,노인복지법,노인복지관,이용,부평구노인복지관,부평구,굴포로 114(삼산동),032-526-4447
232,노인복지법,노인복지관,이용,산곡노인문화센터,부평구,안남로253번길 34(산곡동),032-362-7252
233,노인복지법,노인복지관,이용,부평남부노인문화센터,부평구,동수로68(부평동),032-525-5560
234,노인복지법,노인복지관,이용,계양구노인복지관,계양구,효서로341번길 11,032-552-4494
235,노인복지법,노인복지관,이용,효성노인문화센터,계양구,봉오대로516,032-541-1882
236,노인복지법,노인복지관,이용,계산노인문화센터,계양구,경명대로980,032-556-5611
237,노인복지법,노인복지관,이용,동양노인문화센터,계양구,동양로74-29,032-555-7766
238,노인복지법,노인복지관,이용,서구노인복지관 ,서구 ,서구 신석로 121번길 10,032-582-4071
239,노인복지법,노인복지관,이용,가좌노인문화센터,서구 ,서구 장고개로 387,032-581-7074
240,노인복지법,노인복지관,이용,연희노인문화센터,서구 ,서구 승학로 263,032-569-7351
241,노인복지법,노인복지관,이용,검단노인복지관,서구 ,검단로 502번길 15-1,032-561-0129
242,노인복지법,노인대학(노인교실),이용,강화군노인대학,강화군,강화읍 중앙로 17-16,032-934-4086
243,노인복지법,노인대학(노인교실),이용,중구지회부설노인대학,중구,인천 중구 제물량로80번길 3-24,032-772-2579
244,노인복지법,노인대학(노인교실),이용,내리교회노인대학,중구,인천 중구 우현로67번길 3-1,032-760-4052
245,노인복지법,노인대학(노인교실),이용,송월교회노인대학,중구,인천 중구 동화마을길 65,032-765-7851
246,노인복지법,노인대학(노인교실),이용,동구지회부설 노인대학,동구,샛골로 177(송림동),032-773-6404
247,노인복지법,노인대학(노인교실),이용,미추홀구노인대학,미추홀구,학익소로37번길 17(주안동),032-862-0915
248,노인복지법,노인대학(노인교실),이용,대한노인회 연수구지회,연수구,함박뫼로 194,032-811-7586
249,노인복지법,노인대학(노인교실),이용 ,남동구 노인지회부설 노인대학 ,남동구 ,소래로 610,032-431-4085
250,노인복지법,노인대학(노인교실),이용 ,충효노인대학,남동구 ,만수로 90(만수동),032-467-7301
251,노인복지법,노인대학(노인교실),이용 ,큰사랑실버라이프,남동구 ,백범로124번길 162,032-464-9925
252,노인복지법,노인대학(노인교실),이용 ,벧엘실버대학,남동구 ,만수서로 37번길 29,032-464-2151
