연번,구분,시설유형,시설명,정원,소 재 지,전화번호
39,공동생활가정,,인천밀알장애인공동생활가정1,4,"미추홀구 주안서로 41, 303호(주안동,태극아파트)",032-863-5854
40,공동생활가정,,인천밀알장애인공동생활가정2,4,"미추홀구 경원대로640번길 12-22, 201호(관교동)",032-421-4396
41,공동생활가정,,선학1공동생활가정,4,"연수구 청능말로14번길 10, 101호(청학동)",032-818-5810
42,공동생활가정,,선학2공동생활가정,4,"연수구 청능말로22번길 6, 101호(청학동)",032-818-5414
43,공동생활가정,,그룹홈안젤로2호,4,"연수구 청학로28번길 14,301호(청학동)",032-832-8325
44,공동생활가정,,연수장애인공동생활가정,4,"연수구 청능말로 8번길9,301호(청학동)",032-472-8148
45,공동생활가정,,청학장애인공동생활가정,4,"연수구 청능말로8번길 9, 101호(청학동)",032-575-5675
46,공동생활가정,,그룹홈안젤로1호,4,"남동구 남촌동로16번길 15-12, 2층(남촌동)",032-256-0122
47,공동생활가정,,기분좋은그룹홈2,4,"남동구 독곡로16번길 12-20, B-401(서창동, 필레오빌)",032-468-3447
48,공동생활가정,,예림공동생활가정1,4,"부평구 체육관로 111, 411-1505(삼산동, 삼산타운)",032-513-8518
49,공동생활가정,,예림공동생활가정2,4,"부평구 체육관로 111, 415-1406(삼산동, 삼산타운)",032-513-8518
50,공동생활가정,,예림공동생활가정3,4,"부평구 체육관로 111, 412-906(삼산동, 삼산타운)",032-513-8518
51,공동생활가정,,예림공동생활가정4,4,"부평구 체육관로 111, 406-201(삼산동, 삼산타운)",032-513-8518
52,공동생활가정,,예림공동생활가정5,4,"부평구 체육관로 111, 415-1109(삼산동, 삼산타운)",032-513-8518
53,공동생활가정,,섬나공동생활가정1,4,"계양구 황어로115번길 12, 11동 105호 (오류동, 신동아아파트)",032-555-0019
54,공동생활가정,,섬나공동생활가정2,4,"계양구 계양대로120번길 10, 1동 207호(작전동, 계산한양아파트)",032-555-4136
55,공동생활가정,,섬나공동생활가정3,4,"계양구 장기서로16번길 13 101-101(장기동, 신동아타운) ",032-555-4134
56,공동생활가정,,예그리나공동생활가정2호,4,서구 연희로28번길 17-1 301호(연희동),032-566-5988
57,공동생활가정,,마전장애인공동생활가정,4,"서구 경명대로 698-4, B/201(공촌동, 대국빌라)",032-568-8051
58,공동생활가정,,인정장애인공동생활가정1호,4,"서구 승학로506번안길 57 103/203(검암동,해피하임빌)",032-563-8004
59,공동생활가정,,인정장애인공동생활가정2호,4,"서구 승학로506번안길 57 103/303(검암동,해피하임빌)",032-563-8005
60,공동생활가정,,인정장애인공동생활가정3호,4,"서구 승학로506번안길 57 103/202(검암동,해피하임빌)",032-567-7319
61,공동생활가정,,인정장애인공동생활가정5호,4,"서구 승학로506번안길 57 103/302(검암동,해피하임빌)",032-563-7447
62,공동생활가정,,한원장애인공동생활가정,4,"서구 경명대로 698-4,A동 102호(공촌동,대국빌라)",070-7517-1347
63,공동생활가정,,참빛장애인공동생활가정1호,4,"서구 여우재로 86번길4(가좌동,1층)",032-575-7156
64,공동생활가정,,참빛장애인공동생활가정2호,4,"서구 여우재로 86번길 4(가좌동,2층)",032-575-7156
65,공동생활가정,,다사랑공동생활가정,4,중구 도원로 14번길 15-1(선화동) ,휴지 중
66,공동생활가정,,어울림의집,4,미추홀구 독배로 434번길 18,032-883-7029
67,공동생활가정,,큰나무하우스1호,4,"강화군 양도면 강화남로 428번길 70-11, 2동",032-937-3177
68,공동생활가정,,큰나무하우스2호,4,"강화군 양도면 강화남로 428번길 70-11, 3동",032-937-3177
