facility_id,facility_name,district,legal_dong,address,phone,category_major,category_detail,facility_form,capacity_max_reported,current_occupancy_max_reported,staff_count_max_reported,latitude,longitude,designation_date,installation_date,status,source_as_of_date_latest,source_datasets,source_names,source_files,source_facility_codes,observation_count,source_count,entity_match_rule
fac_2a5a02cb37d020ab,가가호호노인복지센터,미추홀구,주안동,"인천광역시 미추홀구 구월로19번길 6-37, 가동 5호 (주안동, 한성상가)",032-433-8377,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,25,37.45805219,126.6938449,2021-08-01,2021-08-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700529,5,3,exact_normalized_district_name_address
fac_2a7a0461ab34d663,평안재가복지센터,미추홀구,주안동,"인천광역시 미추홀구 미추홀대로 516, 2층 201호 (주안동)",032-428-5553,노인복지,재가노인복지시설,,,,,37.443469,126.679238,2024-12-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_2ac2dee060f5e883,제일요양원,미추홀구,학익동,"인천광역시 미추홀구 학익소로 19, B1,2,5~7층 (학익동)",0328763230,노인복지,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,의료복지 | 장기요양기관,80,,56,37.44548374,126.6689827,2015-11-09,2015-11-09,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817000300,3,3,exact_normalized_district_name_address
fac_2ae1cc98305f2904,효담채요양원,미추홀구,숭의동,인천광역시 미추홀구 경인로 109 (숭의동),0328822200,노인복지,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,의료복지 | 장기요양기관,80,,49,37.46648688,126.6546836,2016-01-29,2016-01-29,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817000309,3,3,exact_normalized_district_name_address
fac_2c12430c682560f3,주안돌봄 재가노인복지센터,미추홀구,주안동,"인천광역시 미추홀구 미추홀대로626번길 51, 1층 (주안동)",032-423-1222,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,23,37.45320779,126.6828336,2024-04-01,2024-04-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700656,5,3,exact_normalized_district_name_address
fac_2d5f7205e4ee4c5c,온유한재가복지센터,미추홀구,용현동,"인천광역시 미추홀구 인주대로 93-63, 202호 (용현동)",032-873-2553,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,74,37.45773307,126.6476395,2021-07-01,2021-07-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700524,5,3,exact_normalized_district_name_address
fac_2e36c28b18a7b877,연수허브단기보호센터,연수구,선학동,인천광역시 연수구 선학2로 13 선학시영 상가내 (선학동 347),032-817-2092,장애인복지,장애인 거주시설,장애인 거주시설,14,5,10,37.43338,126.698362,,2002-03-01,,2026-03-09,yeonsu_disabled,인천광역시 연수구_장애인 복지시설 현황_20260309,yeonsu_disabled_facilities_20260316.csv,,1,1,exact_normalized_district_name_address
fac_305b9a3299908f7b,좋은방문요양복지센터,미추홀구,문학동,"인천광역시 미추홀구 매소홀로535번길 8-1, 102호 (문학동)",070-4647-3279,노인복지,재가노인복지시설,,,,,37.439382,126.68138,2025-02-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_3198b4f11463e6b7,온맘케어 재가복지센터,미추홀구,문학동,"인천광역시 미추홀구 소성로 333, 3층 (문학동)",032-421-5111,노인복지,재가노인복지시설,,,,,37.43760258,126.6842562,2023-09-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_32794841ca602416,신기의료기(인천점),미추홀구,용현동,"인천광역시 미추홀구 인주대로 194, 1층 (용현동)",032-872-2407,노인복지,재가노인복지시설,,,,,37.45498997,126.6582643,2022-03-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_333be0a84956cfdc,좋은아침복지용구,미추홀구,도화동,"인천광역시 미추홀구 연송로 59, 1층 1호 (도화동)",,노인복지,재가노인복지시설,,,,,37.477723,126.656611,2025-05-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_33c98f2f2df2681e,소울노인복지센터,미추홀구,도화동,"인천광역시 미추홀구 석정로324번길 14, 1층 (도화동)",032-874-4090,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,21,37.46711224,126.6711934,2021-12-20,2021-12-20,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700548,5,3,exact_normalized_district_name_address
fac_350af45996385750,인천광역시 사회서비스원 미추홀종합재가센터,미추홀구,도화동,"인천광역시 미추홀구 경인로 221, 101동 102호 (도화동, 나산아파트)",032-715-4974,노인복지,재가노인복지시설,,,,,37.465206,126.667136,2024-09-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_35e42f45f52d1c12,참조은요양원,미추홀구,숭의동,"인천광역시 미추홀구 독정이로100번길 13, 2호 (숭의동)",032-861-3111,노인복지,노인의료복지시설,,29,,,37.464753,126.651029,2024-11-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_367f696b5c3a41c7,정다운복지센터,미추홀구,문학동,"인천광역시 미추홀구 소성로 329, 2층 202호 (문학동, 경진상가주택)",032-221-1005,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,44,37.43762726,126.6839496,2020-05-06,2020-05-06,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700488,5,3,exact_normalized_district_name_address
fac_375b183270bd6085,성운복지용구,미추홀구,학익동,인천광역시 미추홀구 한나루로411번길 82-38 (학익동),032-872-9995,노인복지,재가노인복지시설,,,,,37.44684189,126.6608344,2022-01-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_375f0096b2cf01c5,봄봄재가복지센터,미추홀구,주안동,인천광역시 미추홀구 미추홀대로 636 (주안동),032-471-9455,노인복지,방문요양 | 재가노인복지시설 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,12,37.45403034,126.6801309,2023-01-02,2023-01-02,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700602,3,3,exact_normalized_district_name_address
fac_395eccbc702151ce,연수공동생활가정,연수구,청학동,인천광역시 연수구 청능말로8번길 9 301호(청학동 458-4 301호),032-472-8148,장애인복지,장애인 거주시설,장애인 거주시설,4,2,1,37.417499,126.667855,,2013-07-12,,2026-03-09,yeonsu_disabled,인천광역시 연수구_장애인 복지시설 현황_20260309,yeonsu_disabled_facilities_20260316.csv,,1,1,exact_normalized_district_name_address
